package_being_analyzed,package,fun_name,fun_id,trace_hash,type_hash,dispatch,count,arg_t_r,arg_c_r,arg_a_r,arg_t0,arg_c0,arg_a0,arg_t1,arg_c1,arg_a1,arg_t2,arg_c2,arg_a2,arg_t3,arg_c3,arg_a3,arg_t4,arg_c4,arg_a4,arg_t5,arg_c5,arg_a5,arg_t6,arg_c6,arg_a6,arg_t7,arg_c7,arg_a7,arg_t8,arg_c8,arg_a8,arg_t9,arg_c9,arg_a9,arg_t10,arg_c10,arg_a10,arg_t11,arg_c11,arg_a11,arg_t12,arg_c12,arg_a12,arg_t13,arg_c13,arg_a13,arg_t14,arg_c14,arg_a14,arg_t15,arg_c15,arg_a15,arg_t16,arg_c16,arg_a16,arg_t17,arg_c17,arg_a17,arg_t18,arg_c18,arg_a18,arg_t19,arg_c19,arg_a19
anapuce,base,.Internal,.Internal,122012712953935e5,17474456976725551e3,None,4,integer[1-2],{},{dim},LANGSXP,{},{},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anapuce,base,.Internal,.Internal,13037568636207288e3,18068247528329712e3,None,1,list<double>[2]@NULL-free,{},{names},LANGSXP,{},{},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anapuce,base,<-,<-,1384475439288688e4,8415980182760129e3,None,8,integer[1-2],{},{dim},symbol,{},{},LANGSXP,{},{},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anapuce,base,vector,beFlQXCv0LiPludG9b3f3w==,69543947358041e5,1132071282907321e4,None,44,list<NULL>[2],{},{},character[1]@NA-free,{},{},double[1]@NA-free,{},{},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anapuce,base,{,{,8765076731118359e3,2563316508648780300,None,1,data.frame[30-1],{data.frame},{names-class-row.names},LANGSXP,{},{},LANGSXP,{},{},LANGSXP,{},{},LANGSXP,{},{},LANGSXP,{},{},LANGSXP,{},{},LANGSXP,{},{},symbol,{},{},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anapuce,base,if,if,17395458529963966e3,14205236818223233e3,None,93,double[100-3],{},{dim-dimnames},LANGSXP,{},{},LANGSXP,{},{},symbol,{},{},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anapuce,base,list,list,7699394351451718e3,14700267680613503e3,None,1,list<any>[7]@NULL-free,{},{names},data.frame[17-1],{data.frame},{names-class-row.names},double[100]@NA-free,{},{names},double[100]@NA-free,{},{names},double[100]@NA-free,{},{names},double[100]@NA-free,{},{names},double[100]@NA-free,{},{names},double[100-2],{},{dim-dimnames},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anapuce,base,<-,<-,5875893966532453e3,2213298491329281e3,None,2,data.frame[24-1],{data.frame},{names-class-row.names},symbol,{},{},symbol,{},{},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anapuce,base,names,names,5605894205784072e3,8059413038587032e3,None,7,character[24]@NA-free,{},{},data.frame[24-1],{data.frame},{names-class-row.names},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anapuce,base,vector,beFlQXCv0LiPludG9b3f3w==,15481439966619316e3,4713645845780157e3,None,2,list<NULL>[24],{},{},character[1]@NA-free,{},{},integer[1]@NA-free,{},{},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
